 g-J   g-H   g-Ks
   1.4924525356605463        1.5192553111105678        1.4731415948893696     
   1.2304642707367714        1.4972084827923604        1.6164417367175417     
   1.0947789816229090        1.6664130728962685        1.9079594321356343     
   0.0000000000000000        0.0000000000000000        0.0000000000000000     
  0.19857184399375094       0.21302494273545741       0.23362924288559944     
   1.3088013950675154E-003   1.3088013950675154E-003   1.3088013950675154E-003
   2.2572661221471860E-003   2.2572661221471860E-003   2.2572661221471860E-003
   8.0685742858813017E-004   8.0685742858813017E-004   8.0685742858813017E-004

 fit on observed data ... 2. iteration
